BAJAJFINSV,2023: ROCE differs from source by >5%; category=version difference; computed=11.547055730809674; source=21.14
BAJAJFINSV,2023: ROE differs from source by >5%; category=data source issue; computed=26.310685887904846; source=11.72
BAJAJFINSV,2024: ROCE differs from source by >5%; category=version difference; computed=10.563824289405686; source=21.14
BAJAJFINSV,2024: ROE differs from source by >5%; category=data source issue; computed=22.824734723746797; source=11.72
BAJAJHLDNG,2013: ROCE differs from source by >5%; category=version difference; computed=3.141614306428226; source=13.1
BAJAJHLDNG,2014: ROCE differs from source by >5%; category=version difference; computed=3.375281273439453; source=13.1
BAJAJHLDNG,2015: ROCE differs from source by >5%; category=version difference; computed=3.8751586649742404; source=13.1
BAJAJHLDNG,2016: ROCE differs from source by >5%; category=version difference; computed=2.8509775714379124; source=13.1
BAJAJHLDNG,2017: ROCE differs from source by >5%; category=version difference; computed=3.5694241777977322; source=13.1
BAJAJHLDNG,2022: ROE differs from source by >5%; category=data source issue; computed=9.630736193455022; source=14.8
BAJFINANCE,2015: OPM mismatch; category=data source issue; computed=32.49258160237389; source=1367.0
BAJFINANCE,2015: ROCE differs from source by >5%; category=version difference; computed=5.649340327451916; source=11.9
BAJFINANCE,2016: OPM mismatch; category=data source issue; computed=32.25099328675161; source=1986.0
BAJFINANCE,2016: ROCE differs from source by >5%; category=version difference; computed=5.356339422298209; source=11.9
BAJFINANCE,2017: OPM mismatch; category=data source issue; computed=32.59779338014042; source=2867.0
BAJFINANCE,2017: ROCE differs from source by >5%; category=version difference; computed=5.57179269328802; source=11.9
BAJFINANCE,2018: OPM mismatch; category=data source issue; computed=32.28463831790366; source=3935.0
BAJFINANCE,2018: ROCE differs from source by >5%; category=version difference; computed=5.031248103877192; source=11.9
BAJFINANCE,2018: ROE differs from source by >5%; category=data source issue; computed=15.749621403331652; source=22.1
BAJFINANCE,2019: OPM mismatch; category=data source issue; computed=29.501812084167252; source=6310.0
BAJFINANCE,2019: ROCE differs from source by >5%; category=version difference; computed=4.524879416250979; source=11.9
BAJFINANCE,2020: OPM mismatch; category=data source issue; computed=34.72738302874043; source=7608.0
BAJFINANCE,2020: ROCE differs from source by >5%; category=version difference; computed=5.66691748800375; source=11.9
BAJFINANCE,2020: ROE differs from source by >5%; category=data source issue; computed=16.283098243009157; source=22.1
BAJFINANCE,2021: OPM mismatch; category=data source issue; computed=40.63659880778315; source=6314.0
BAJFINANCE,2021: ROCE differs from source by >5%; category=version difference; computed=6.444895343870141; source=11.9
BAJFINANCE,2021: ROE differs from source by >5%; category=data source issue; computed=11.972479549271359; source=22.1
BAJFINANCE,2022: OPM mismatch; category=data source issue; computed=37.546221674409786; source=9906.0
BAJFINANCE,2022: ROCE differs from source by >5%; category=version difference; computed=5.700543205149681; source=11.9
BAJFINANCE,2022: ROE differs from source by >5%; category=data source issue; computed=16.07759705350811; source=22.1
BAJFINANCE,2023: OPM mismatch; category=data source issue; computed=30.65127623095313; source=16018.0
BAJFINANCE,2023: ROCE differs from source by >5%; category=version difference; computed=4.697080372756048; source=11.9
BAJFINANCE,2024: OPM mismatch; category=data source issue; computed=29.285818234737686; source=19987.0
BAJFINANCE,2024: ROCE differs from source by >5%; category=version difference; computed=3.92559017665764; source=11.9
BAJFINANCE,2024: ROE differs from source by >5%; category=data source issue; computed=16.648042118359964; source=22.1
BAJFINANCE,TTM: OPM mismatch; category=data source issue; computed=30.416352221455067; source=21417.0
BANKBARODA,2013: OPM mismatch; category=data source issue; computed=30.047747104988748; source=1006.0
BANKBARODA,2014: OPM mismatch; category=data source issue; computed=29.777821713664338; source=809.0
BANKBARODA,2015: OPM mismatch; category=data source issue; computed=29.981075364577535; source=902.0
BANKBARODA,2015: ROE differs from source by >5%; category=data source issue; computed=9.400733019182256; source=16.7
BANKBARODA,2016: OPM mismatch; category=data source issue; computed=55.440075110810284; source=-11700.0
BANKBARODA,2016: ROE differs from source by >5%; category=data source issue; computed=-11.841517069383338; source=16.7
BANKBARODA,2017: OPM mismatch; category=data source issue; computed=43.28468958694039; source=-4372.0
BANKBARODA,2017: ROE differs from source by >5%; category=data source issue; computed=4.307242204007709; source=16.7
BANKBARODA,2018: OPM mismatch; category=data source issue; computed=56.654941809970474; source=-9197.0
BANKBARODA,2018: ROE differs from source by >5%; category=data source issue; computed=-3.9427908774642444; source=16.7
BANKBARODA,2019: OPM mismatch; category=data source issue; computed=48.79408762711223; source=-5414.0
BANKBARODA,2019: ROE differs from source by >5%; category=data source issue; computed=2.1201541930322207; source=16.7
BANKBARODA,2020: OPM mismatch; category=data source issue; computed=51.439254705621394; source=-11728.0
BANKBARODA,2020: ROE differs from source by >5%; category=data source issue; computed=1.2890255439924314; source=16.7
BANKBARODA,2021: OPM mismatch; category=data source issue; computed=51.22857065963344; source=-6957.0
BANKBARODA,2021: ROE differs from source by >5%; category=data source issue; computed=1.9662580410243962; source=16.7
BANKBARODA,2022: OPM mismatch; category=data source issue; computed=51.12488928255093; source=-2948.0
BANKBARODA,2022: ROE differs from source by >5%; category=data source issue; computed=8.635121749447583; source=16.7
BANKBARODA,2023: OPM mismatch; category=data source issue; computed=40.45480037670762; source=6329.0
BANKBARODA,2024: OPM mismatch; category=data source issue; computed=37.4889127294537; source=4102.0
BANKBARODA,TTM: OPM mismatch; category=data source issue; computed=37.423475963397344; source=3526.0
BEL,2013: ROCE differs from source by >5%; category=version difference; computed=4303.333333333333; source=34.6
BEL,2013: ROE differs from source by >5%; category=data source issue; computed=15183.333333333334; source=26.3
BEL,2014: ROCE differs from source by >5%; category=version difference; computed=4867.857142857143; source=34.6
BEL,2014: ROE differs from source by >5%; category=data source issue; computed=13600.0; source=26.3
BEL,2015: ROCE differs from source by >5%; category=version difference; computed=5109.090909090909; source=34.6
BEL,2015: ROE differs from source by >5%; category=data source issue; computed=17100.0; source=26.3
BEL,2016: ROCE differs from source by >5%; category=version difference; computed=5313.513513513513; source=34.6
BEL,2016: ROE differs from source by >5%; category=data source issue; computed=11141.666666666668; source=26.3
BEL,2017: ROCE differs from source by >5%; category=version difference; computed=5027.272727272727; source=34.6
BEL,2017: ROE differs from source by >5%; category=data source issue; computed=10153.333333333334; source=26.3
BEL,2018: ROCE differs from source by >5%; category=version difference; computed=2829.1139240506327; source=34.6
BEL,2018: ROE differs from source by >5%; category=data source issue; computed=4616.129032258064; source=26.3
BEL,2019: ROCE differs from source by >5%; category=version difference; computed=3106.25; source=34.6
BEL,2019: ROE differs from source by >5%; category=data source issue; computed=3851.020408163265; source=26.3
BEL,2020: ROCE differs from source by >5%; category=version difference; computed=2886.868686868687; source=34.6
BEL,2020: ROE differs from source by >5%; category=data source issue; computed=3318.181818181818; source=26.3
